employee_id,department,country,job_level,gender,age,hire_date,tenure_days_as_of_2025_06_30,annual_salary_usd,manager_id,is_remote,employment_status
EMP00001,Customer Support,Germany,Team Lead,Female,26,2024-05-04,422,78800.0,EMP00517,True,Active
EMP00002,Engineering,India,Manager,Female,28,2021-06-06,1485,55300.0,EMP03361,True,Active
EMP00003,Operations,USA,Senior IC,Female,21,2021-12-29,1279,76300.0,EMP02186,True,Active
EMP00004,Customer Support,India,Senior IC,,24,2018-03-13,2666,34300.0,EMP01785,False,Active
EMP00005,Sales,Brazil,Manager,Male,25,2023-11-29,579,54200.0,EMP01202,False,Active
EMP00006,Operations,India,Senior IC,Male,28,2023-01-05,907,34400.0,EMP00834,True,Active
EMP00007,Customer Support,India,Manager,Male,28,2020-11-15,1688,51200.0,EMP01133,False,Active
EMP00008,Customer Support,UAE,Individual Contributor,Female,25,2021-08-19,1411,47700.0,EMP00618,False,Active
EMP00009,Sales,Brazil,Individual Contributor,Female,26,2022-08-11,1054,26400.0,EMP02748,True,Active
EMP00010,Engineering,USA,Senior IC,,29,2019-06-06,2216,83500.0,EMP03314,False,Active
EMP00011,Engineering,Canada,Individual Contributor,Male,29,2023-12-18,560,50200.0,EMP03370,True,Active
EMP00012,Operations,Brazil,Director,Male,31,2021-10-08,1361,70300.0,,False,Active
EMP00013,Customer Support,Canada,Individual Contributor,Female,24,2023-07-06,725,48300.0,EMP00493,False,Active
EMP00014,Operations,Canada,Team Lead,Female,27,2022-11-27,946,84500.0,EMP02589,True,Active
EMP00015,Engineering,Canada,Individual Contributor,Male,26,2024-12-10,202,49500.0,EMP03015,True,Active
EMP00016,Sales,Brazil,Senior Manager,Female,29,2022-10-19,985,68500.0,EMP01779,True,Active
EMP00017,Engineering,India,Individual Contributor,Female,32,2024-03-28,459,26300.0,EMP01940,False,Terminated
EMP00018,Sales,USA,Individual Contributor,Male,25,2024-09-03,300,56000.0,EMP01340,False,Active
EMP00019,Operations,India,Individual Contributor,Male,30,2024-04-05,451,28000.0,EMP02878,False,Active
EMP00020,Customer Support,Brazil,Senior IC,Male,30,2015-10-02,3559,34600.0,EMP02443,True,Terminated
EMP00021,Customer Support,India,Director,Male,26,2021-12-02,1306,78500.0,,True,Active
EMP00022,Engineering,UAE,Director,Male,21,2020-01-14,1994,161200.0,,True,Active
EMP00023,Operations,USA,Individual Contributor,Female,27,2023-11-30,578,55300.0,EMP03350,False,Active
EMP00024,Operations,Germany,Senior IC,Male,36,2016-07-22,3265,76600.0,EMP01818,False,Active
EMP00025,Customer Support,India,Individual Contributor,Male,21,2023-08-02,698,32700.0,EMP03340,False,Active
EMP00026,Sales,Germany,Senior IC,Female,30,2021-03-17,1566,65600.0,EMP02368,False,Active
EMP00027,Engineering,USA,Senior IC,Male,28,2024-02-04,512,67600.0,EMP01812,True,Active
EMP00028,Sales,USA,Individual Contributor,Male,30,2022-03-21,1197,54000.0,EMP02629,False,Active
EMP00029,Sales,UAE,Senior IC,Female,22,2023-02-24,857,67200.0,EMP00880,False,Active
EMP00030,Customer Support,India,Manager,Male,29,2024-04-24,432,57400.0,EMP01554,True,Active
EMP00031,Customer Support,USA,Individual Contributor,Male,28,2022-05-10,1147,65200.0,EMP00087,False,Active
EMP00032,Operations,USA,Individual Contributor,Female,30,2022-08-16,1049,55000.0,EMP02606,False,Active
EMP00033,Engineering,India,Individual Contributor,Female,25,2024-10-12,261,27400.0,EMP01132,False,Active
EMP00034,Engineering,USA,Individual Contributor,Male,32,2019-03-31,2283,52100.0,EMP00357,False,Active
EMP00035,Engineering,Brazil,Individual Contributor,Female,32,2022-03-29,1189,23000.0,EMP02769,True,Active
EMP00036,Sales,UAE,Senior IC,Female,25,2024-03-01,486,61600.0,EMP00829,False,Active
EMP00037,Sales,USA,Individual Contributor,Male,34,2017-05-15,2968,50100.0,EMP00791,False,Active
EMP00038,Engineering,India,Team Lead,Male,34,2021-01-24,1618,45100.0,EMP00536,False,Active
EMP00039,Sales,USA,Manager,Male,27,2022-12-05,938,92800.0,EMP02100,True,Active
EMP00040,Customer Support,Germany,Senior Manager,Male,22,2023-07-09,722,116600.0,EMP01194,False,Active
EMP00041,Engineering,Canada,Team Lead,Male,31,2021-10-29,1340,79700.0,EMP01988,False,Active
EMP00042,Operations,India,Individual Contributor,Male,37,2018-10-24,2441,27200.0,EMP01213,False,Active
EMP00043,Customer Support,Canada,Individual Contributor,Female,32,2022-11-18,955,47800.0,EMP02629,False,Active
EMP00044,Engineering,USA,Individual Contributor,Male,34,2019-04-03,2280,63400.0,EMP01305,False,Active
EMP00045,Operations,Germany,Senior Manager,Female,21,2022-03-24,1194,139500.0,EMP02752,False,Active
