event_id,employee_id,event_type,event_date,details
EVT000001,EMP00001,Salary Increase,2023-02-04,+4.9%
EVT000002,EMP00002,Salary Increase,2023-06-09,+6.3%
EVT000003,EMP00002,Salary Increase,2024-11-30,+3.3%
EVT000004,EMP00005,Salary Increase,2025-02-05,+6.1%
EVT000005,EMP00006,Salary Increase,2024-12-31,+1.2%
EVT000006,EMP00008,Salary Increase,2024-10-03,+9.0%
EVT000007,EMP00008,Salary Increase,2023-06-04,+0.8%
EVT000008,EMP00010,Salary Increase,2024-04-13,+1.1%
EVT000009,EMP00011,Salary Increase,2025-05-24,+6.7%
EVT000010,EMP00012,Salary Increase,2023-03-22,+7.4%
EVT000011,EMP00012,Salary Increase,2023-08-25,+10.6%
EVT000012,EMP00012,Salary Increase,2025-02-25,+6.0%
EVT000013,EMP00013,Salary Increase,2023-06-10,+4.4%
EVT000014,EMP00013,Salary Increase,2023-10-02,+6.6%
EVT000015,EMP00015,Salary Increase,2024-12-14,+9.8%
EVT000016,EMP00017,Salary Increase,2024-03-29,+7.3%
EVT000017,EMP00017,Exit,2023-10-06,Voluntary - Career Growth
EVT000018,EMP00018,Salary Increase,2024-05-19,+3.7%
EVT000019,EMP00019,Salary Increase,2024-11-02,+2.3%
EVT000020,EMP00019,Salary Increase,2023-06-23,+7.8%
EVT000021,EMP00020,Salary Increase,2023-02-11,+6.5%
EVT000022,EMP00020,Exit,2024-02-20,Voluntary - Better Opportunity
EVT000023,EMP00021,Salary Increase,2023-11-11,+0.6%
EVT000024,EMP00022,Salary Increase,2025-01-15,+7.8%
EVT000025,EMP00024,Salary Increase,2023-08-08,+7.1%
EVT000026,EMP00025,Salary Increase,2025-05-22,+5.6%
EVT000027,EMP00026,Salary Increase,2025-01-19,+6.8%
EVT000028,EMP00026,Salary Increase,2023-03-03,+8.0%
EVT000029,EMP00028,Salary Increase,2023-01-06,+12.5%
EVT000030,EMP00030,Salary Increase,2024-06-12,+4.1%
EVT000031,EMP00030,Salary Increase,2023-10-06,+4.4%
EVT000032,EMP00030,Salary Increase,2024-11-18,+9.0%
EVT000033,EMP00031,Salary Increase,2023-10-23,+4.9%
EVT000034,EMP00032,Salary Increase,2025-02-28,+3.9%
EVT000035,EMP00032,Salary Increase,2024-12-31,+6.3%
EVT000036,EMP00032,Salary Increase,2025-02-07,+8.0%
EVT000037,EMP00033,Salary Increase,2025-01-29,+6.6%
EVT000038,EMP00034,Promotion,2023-10-28,Level up: 1 grade
EVT000039,EMP00034,Salary Increase,2024-06-10,+1.2%
EVT000040,EMP00036,Salary Increase,2025-02-23,+9.9%
EVT000041,EMP00037,Salary Increase,2023-01-22,+0.5%
EVT000042,EMP00038,Salary Increase,2023-10-23,+6.3%
EVT000043,EMP00041,Promotion,2025-03-31,Level up: 1 grade
EVT000044,EMP00041,Salary Increase,2025-02-25,+8.2%
EVT000045,EMP00041,Salary Increase,2023-01-19,+6.5%
EVT000046,EMP00043,Salary Increase,2023-12-20,+0.5%
EVT000047,EMP00044,Salary Increase,2024-06-01,+4.9%
EVT000048,EMP00045,Salary Increase,2023-08-07,+3.1%
EVT000049,EMP00045,Salary Increase,2024-11-20,+5.7%
EVT000050,EMP00046,Promotion,2024-05-21,Level up: 2 grades
EVT000051,EMP00046,Salary Increase,2025-01-19,+6.2%
EVT000052,EMP00047,Promotion,2023-08-26,Level up: 1 grade
EVT000053,EMP00047,Salary Increase,2024-09-05,+9.1%
EVT000054,EMP00047,Salary Increase,2023-01-09,+9.4%
EVT000055,EMP00048,Salary Increase,2024-09-21,+4.6%
EVT000056,EMP00048,Salary Increase,2025-01-29,+8.0%
EVT000057,EMP00049,Salary Increase,2023-12-05,+8.8%
EVT000058,EMP00050,Salary Increase,2023-08-05,+7.9%
EVT000059,EMP00050,Salary Increase,2024-07-31,+6.2%
EVT000060,EMP00051,Salary Increase,2025-02-23,+10.7%
EVT000061,EMP00052,Salary Increase,2023-07-12,+2.4%
EVT000062,EMP00052,Salary Increase,2024-07-17,+6.9%
EVT000063,EMP00053,Salary Increase,2024-04-15,+1.9%
EVT000064,EMP00055,Salary Increase,2024-11-14,+4.0%
EVT000065,EMP00057,Salary Increase,2025-06-18,+10.6%
EVT000066,EMP00057,Salary Increase,2024-08-07,+4.5%
EVT000067,EMP00057,Exit,2023-06-13,Voluntary - Career Growth
EVT000068,EMP00062,Exit,2024-04-30,Voluntary - Better Opportunity
EVT000069,EMP00063,Salary Increase,2023-10-27,+6.4%
EVT000070,EMP00063,Salary Increase,2023-02-01,+5.9%
EVT000071,EMP00063,Salary Increase,2024-07-28,+2.3%
EVT000072,EMP00063,Salary Increase,2025-01-08,+4.0%
EVT000073,EMP00064,Promotion,2025-06-29,Level up: 1 grade
EVT000074,EMP00064,Salary Increase,2024-09-06,+5.2%
EVT000075,EMP00064,Salary Increase,2024-06-25,+4.6%
EVT000076,EMP00066,Promotion,2025-01-26,Level up: 1 grade
EVT000077,EMP00067,Salary Increase,2023-09-04,+7.5%
EVT000078,EMP00067,Salary Increase,2023-09-27,+4.6%
EVT000079,EMP00068,Salary Increase,2025-03-07,+1.4%
EVT000080,EMP00070,Salary Increase,2023-04-14,+9.1%
EVT000081,EMP00071,Salary Increase,2025-05-02,+2.7%
EVT000082,EMP00072,Salary Increase,2023-03-06,+6.7%
EVT000083,EMP00072,Salary Increase,2023-10-20,+9.2%
EVT000084,EMP00073,Salary Increase,2023-05-11,+5.3%
EVT000085,EMP00073,Salary Increase,2024-05-23,+10.6%
EVT000086,EMP00074,Promotion,2025-06-01,Level up: 1 grade
EVT000087,EMP00074,Salary Increase,2025-05-19,+7.7%
EVT000088,EMP00074,Salary Increase,2024-10-12,+6.4%
EVT000089,EMP00075,Salary Increase,2023-12-05,+3.9%
EVT000090,EMP00075,Salary Increase,2024-01-26,+5.8%
EVT000091,EMP00076,Salary Increase,2023-03-28,+3.8%
EVT000092,EMP00078,Promotion,2024-12-20,Level up: 1 grade
EVT000093,EMP00079,Salary Increase,2023-12-11,+5.2%
EVT000094,EMP00079,Salary Increase,2024-12-08,+5.4%
EVT000095,EMP00080,Promotion,2024-03-21,Level up: 1 grade
EVT000096,EMP00081,Salary Increase,2024-10-21,+7.5%
EVT000097,EMP00082,Salary Increase,2023-04-19,+1.6%
EVT000098,EMP00083,Promotion,2023-11-20,Level up: 1 grade
EVT000099,EMP00085,Salary Increase,2023-05-19,+1.8%
EVT000100,EMP00087,Salary Increase,2023-04-02,+5.8%
EVT000101,EMP00087,Salary Increase,2023-04-09,+5.1%
EVT000102,EMP00087,Salary Increase,2023-12-05,+3.8%
EVT000103,EMP00088,Salary Increase,2023-05-12,+3.3%
EVT000104,EMP00089,Salary Increase,2024-11-05,+7.6%
EVT000105,EMP00089,Salary Increase,2023-09-24,+2.3%
EVT000106,EMP00091,Promotion,2024-04-24,Level up: 1 grade
EVT000107,EMP00091,Salary Increase,2025-02-18,+6.1%
EVT000108,EMP00091,Salary Increase,2024-12-17,+5.2%
EVT000109,EMP00092,Salary Increase,2024-03-07,+9.9%
EVT000110,EMP00092,Salary Increase,2024-03-14,+7.1%
EVT000111,EMP00094,Salary Increase,2024-08-22,+5.9%
EVT000112,EMP00094,Salary Increase,2024-01-02,+3.2%
EVT000113,EMP00095,Salary Increase,2024-04-20,+9.3%
EVT000114,EMP00096,Promotion,2023-09-23,Level up: 1 grade
EVT000115,EMP00096,Salary Increase,2023-02-03,+10.4%
