performance_id,employee_id,review_period,review_date,performance_score_1to5,manager_rating_1to5,goals_total,goals_achieved,goal_completion_rate_pct,peer_feedback_score_1to5,had_recent_training_last_180d
PRF000001,EMP00001,2024-H1,2024-06-30,2.98,,4,3,64.8,3.96,True
PRF000002,EMP00001,2024-H2,2024-12-31,2.8,3.0,6,4,65.9,3.39,False
PRF000003,EMP00001,2025-H1,2025-06-30,2.83,2.0,7,4,58.6,2.67,False
PRF000004,EMP00002,2023-H1,2023-06-30,3.57,4.0,5,3,69.6,4.2,True
PRF000005,EMP00002,2023-H2,2023-12-31,3.82,4.0,7,5,74.8,4.22,True
PRF000006,EMP00002,2024-H1,2024-06-30,3.86,4.0,4,4,87.8,3.45,True
PRF000007,EMP00002,2024-H2,2024-12-31,3.9,3.0,6,5,78.4,4.17,False
PRF000008,EMP00002,2025-H1,2025-06-30,4.05,4.0,7,6,81.4,3.78,True
PRF000009,EMP00003,2023-H1,2023-06-30,3.74,4.0,5,4,84.1,4.11,True
PRF000010,EMP00003,2023-H2,2023-12-31,3.65,4.0,4,3,79.8,3.68,True
PRF000011,EMP00003,2024-H1,2024-06-30,3.53,3.0,5,4,81.8,2.69,False
PRF000012,EMP00003,2024-H2,2024-12-31,3.67,4.0,5,4,83.3,3.43,True
PRF000013,EMP00003,2025-H1,2025-06-30,3.56,,4,3,68.8,3.9,False
PRF000014,EMP00004,2023-H1,2023-06-30,3.11,,6,5,75.7,2.5,False
PRF000015,EMP00004,2023-H2,2023-12-31,3.05,3.0,5,3,55.0,2.49,False
PRF000016,EMP00004,2024-H1,2024-06-30,3.08,3.0,5,3,64.1,3.53,True
PRF000017,EMP00004,2024-H2,2024-12-31,3.05,2.0,5,3,51.8,3.17,False
PRF000018,EMP00004,2025-H1,2025-06-30,3.0,3.0,6,4,60.4,3.56,False
PRF000019,EMP00005,2023-H2,2023-12-31,3.22,3.0,6,4,63.7,3.54,True
PRF000020,EMP00005,2024-H1,2024-06-30,3.42,5.0,3,2,58.3,2.86,True
PRF000021,EMP00005,2024-H2,2024-12-31,3.29,4.0,6,4,68.9,2.75,False
PRF000022,EMP00005,2025-H1,2025-06-30,3.47,4.0,4,3,76.6,4.62,False
PRF000023,EMP00006,2023-H1,2023-06-30,3.59,4.0,3,2,74.6,3.25,True
PRF000024,EMP00006,2023-H2,2023-12-31,3.58,4.0,3,3,83.8,2.97,False
PRF000025,EMP00006,2024-H1,2024-06-30,3.85,4.0,7,6,81.4,4.08,True
PRF000026,EMP00006,2024-H2,2024-12-31,3.82,4.0,7,5,66.1,4.92,False
PRF000027,EMP00006,2025-H1,2025-06-30,4.12,4.0,5,4,80.0,4.65,True
PRF000028,EMP00007,2023-H1,2023-06-30,3.66,3.0,5,3,66.9,4.69,True
PRF000029,EMP00007,2023-H2,2023-12-31,3.77,4.0,6,4,69.0,4.72,True
PRF000030,EMP00007,2024-H1,2024-06-30,3.98,4.0,3,2,59.9,4.22,True
PRF000031,EMP00007,2024-H2,2024-12-31,4.21,5.0,3,3,84.3,4.47,False
PRF000032,EMP00007,2025-H1,2025-06-30,4.28,5.0,4,3,87.2,3.23,True
PRF000033,EMP00008,2023-H1,2023-06-30,3.18,,5,3,61.0,3.53,True
PRF000034,EMP00008,2023-H2,2023-12-31,3.19,4.0,7,5,68.5,3.97,False
PRF000035,EMP00008,2024-H1,2024-06-30,3.32,4.0,3,2,54.9,3.33,True
PRF000036,EMP00008,2024-H2,2024-12-31,3.54,,6,4,71.5,3.06,True
PRF000037,EMP00008,2025-H1,2025-06-30,3.88,4.0,6,4,59.2,4.37,True
PRF000038,EMP00009,2023-H1,2023-06-30,3.05,3.0,4,2,59.7,3.21,False
PRF000039,EMP00009,2023-H2,2023-12-31,3.1,4.0,4,3,71.6,2.75,True
PRF000040,EMP00009,2024-H1,2024-06-30,3.1,3.0,4,2,60.6,3.61,True
PRF000041,EMP00009,2024-H2,2024-12-31,3.02,3.0,6,4,62.3,2.67,True
PRF000042,EMP00009,2025-H1,2025-06-30,2.91,2.0,7,3,44.3,3.49,False
PRF000043,EMP00010,2023-H1,2023-06-30,2.8,3.0,6,3,55.5,2.5,True
PRF000044,EMP00010,2023-H2,2023-12-31,3.12,3.0,4,3,68.2,2.97,True
PRF000045,EMP00010,2024-H1,2024-06-30,3.24,3.0,3,2,62.7,3.28,False
PRF000046,EMP00010,2024-H2,2024-12-31,3.42,3.0,5,3,69.5,3.98,False
PRF000047,EMP00010,2025-H1,2025-06-30,3.46,4.0,7,5,64.8,3.17,False
PRF000048,EMP00011,2023-H2,2023-12-31,2.82,3.0,6,3,57.4,3.6,False
PRF000049,EMP00011,2024-H1,2024-06-30,2.95,3.0,4,3,75.7,3.83,True
PRF000050,EMP00011,2024-H2,2024-12-31,2.98,3.0,4,2,61.6,3.72,True
