enrollment_id,employee_id,program_id,enrollment_date,completion_status,completion_pct,completion_date,assessment_score,participant_satisfaction_1to5
ENR000001,EMP00001,PRG013,2023-05-06,Completed,93.7,2023-05-22,69.6,4.3
ENR000002,EMP00001,PRG014,2024-01-05,Completed,99.1,2024-01-21,87.7,3.2
ENR000003,EMP00001,PRG015,2023-04-12,Completed,99.6,2023-05-14,70.0,3.2
ENR000004,EMP00001,PRG016,2024-05-27,In Progress,61.2,,,
ENR000005,EMP00001,PRG017,2023-07-04,Dropped,5.8,,,
ENR000006,EMP00002,PRG013,2023-11-13,In Progress,54.3,,,
ENR000007,EMP00002,PRG014,2025-03-10,Completed,95.1,2025-05-06,84.4,2.8
ENR000008,EMP00002,PRG015,2023-07-13,Completed,96.1,2023-09-07,82.8,3.0
ENR000009,EMP00002,PRG016,2024-03-29,Completed,99.7,2024-06-08,86.5,5.0
ENR000010,EMP00002,PRG017,2024-04-29,Completed,93.6,2024-07-02,83.6,4.1
ENR000011,EMP00002,PRG019,2024-07-28,In Progress,53.0,,,
ENR000012,EMP00002,PRG005,2023-05-18,Completed,91.3,2023-06-01,79.5,5.0
ENR000013,EMP00002,PRG011,2025-04-16,Completed,95.8,2025-06-16,98.3,5.0
ENR000014,EMP00003,PRG013,2023-08-01,Completed,100.0,2023-10-02,75.3,3.3
ENR000015,EMP00003,PRG014,2023-02-07,Completed,97.0,2023-03-03,92.0,3.7
ENR000016,EMP00003,PRG015,2023-10-29,Dropped,0.0,,,2.1
ENR000017,EMP00003,PRG016,2023-02-03,Completed,97.2,2023-04-17,73.3,4.4
ENR000018,EMP00003,PRG017,2024-06-06,Completed,100.0,2024-07-08,89.4,3.5
ENR000019,EMP00004,PRG013,2023-02-11,Dropped,18.2,,,
ENR000020,EMP00004,PRG014,2024-08-25,Dropped,14.6,,,
ENR000021,EMP00004,PRG015,2024-09-05,In Progress,39.2,,,
ENR000022,EMP00004,PRG016,2024-04-14,Completed,91.5,2024-04-26,71.1,3.9
ENR000023,EMP00004,PRG017,2024-08-10,Dropped,33.6,,,3.0
ENR000024,EMP00005,PRG013,2023-11-11,Completed,93.4,2023-11-25,96.3,4.2
ENR000025,EMP00005,PRG014,2024-04-24,Completed,96.4,2024-06-06,92.2,3.6
ENR000026,EMP00005,PRG015,2023-11-26,Dropped,13.4,,,3.1
ENR000027,EMP00005,PRG016,2023-07-07,Completed,93.0,2023-08-31,99.2,3.4
